Station                           ,                 sea_reg,              sealev_dvr,               sealev_ln,                      tw
  20002 (Skagen Havn)             ,                   37679,                   37679,                       0,                       0
  20043 (Hirtshals Havn II)       ,                   51912,                   51912,                   51912,                   51896
  20047 (Hirtshals Havn I)        ,                   52047,                   52047,                   52047,                       0
  20048 (Hirtshals Havn)          ,                       0,                       0,                       0,                       0
  20098 (Frederikshavn)           ,                       0,                       0,                       0,                       0
  20101 (Frederikshavn I)         ,                   51993,                   51993,                   51993,                       0
  20102 (Frederikshavn II)        ,                   51875,                       0,                       0,                   51857
  20566 (Hobro Havn I)            ,                   37224,                   37224,                       0,                       0
  20567 (Hobro Havn II)           ,                   49435,                   49435,                       0,                   49419
  21008 (Hanstholm Havn)          ,                       0,                       0,                       0,                       0
  21009 (Hanstholm Havn I)        ,                   49864,                   49864,                   49864,                       0
  21011 (Hanstholm Havn II)       ,                   16344,                       0,                       0,                   16338
  22009 (Udbyhøj Havn II)         ,                   52117,                   52117,                       0,                   52105
  22058 (Randers Havn I)          ,                   52107,                   52107,                       0,                       0
  22059 (Randers Havn II)         ,                   52017,                       0,                       0,                   14470
  22121 (Grenå Havn I)            ,                   52006,                   52006,                       0,                       0
  22122 (Grenå Havn II)           ,                   50454,                       0,                       0,                   50435
  22331 (Århus Havn I)            ,                   52129,                   52129,                   52129,                       0
  22332 (Århus Havn)              ,                       0,                       0,                       0,                       0
  22333 (Århus Havn II)           ,                   52015,                       0,                       0,                   52001
  22598 (Hov Havn I)              ,                   52160,                   52160,                       0,                       0
  22599 (Hov Havn II)             ,                   51930,                       0,                       0,                   51912
  23132 (Juelsminde Havn)         ,                   23134,                   23134,                       0,                       0
  23289 (Fredericia Havn II)      ,                   51738,                       0,                       0,                   51717
  23292 (Fredericia Havn)         ,                       0,                       0,                       0,                       0
  23293 (Fredericia Havn)         ,                   51858,                   51858,                   51858,                       0
  25148 (Esbjerg Havn)            ,                       0,                       0,                       0,                       0
  25149 (Esbjerg Havn)            ,                   52549,                   52549,                   52549,                   52549
  26359 (Vidåslusen/Højer)        ,                   52556,                   52556,                   52556,                   52556
  26457 (Fynshav Havn I)          ,                   52022,                   52022,                   52022,                       0
  26458 (Fynshav Havn)            ,                       0,                       0,                       0,                       0
  26459 (Fynshav Havn II)         ,                   50926,                       0,                       0,                   50910
  27084 (Ballen Havn)             ,                   52028,                   52028,                       0,                       0
  28232 (Slipshavn)               ,                       0,                       0,                       0,                       0
  28233 (Slipshavn)               ,                       0,                       0,                       0,                       0
