Station                              ,               cloud_cover,              cloud_height,                  humidity,           humidity_past1h,    leav_hum_dur_past10min,       leav_hum_dur_past1h,      precip_dur_past10min,         precip_dur_past1h,          precip_past10min,             precip_past1h,           precip_past1min,            precip_past24h,                  pressure,           pressure_at_sea,                radia_glob,         radia_glob_past1h,            snow_cover_man,            snow_depth_man,        sun_last10min_glob,           sun_last1h_glob,                  temp_dew,                  temp_dry,                temp_grass,     temp_grass_max_past1h,    temp_grass_mean_past1h,     temp_grass_min_past1h,          temp_max_past12h,           temp_max_past1h,          temp_mean_past1h,          temp_min_past12h,           temp_min_past1h,                 temp_soil,      temp_soil_max_past1h,     temp_soil_mean_past1h,      temp_soil_min_past1h,      visib_mean_last10min,                visibility,                   weather,                  wind_dir,           wind_dir_past1h,   wind_gust_always_past1h,                  wind_max,  wind_max_per10min_past1h,                  wind_min,           wind_min_past1h,                wind_speed,         wind_speed_past1h
04203 (Kitsissut)                    ,                         0,                         0,                      2632,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      2632,                      2632,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      2571,                         0,                         0,                         0,                         0,                         0,                         0,                      2571,                         0
04208 (Kitsissorsuit)                ,                         0,                         0,                      2588,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      2819,                      2819,                         0,                         0,                         0,                         0,                         0,                         0,                      2588,                      2819,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      2805,                         0,                         0,                         0,                         0,                         0,                         0,                      2805,                         0
04214 (Qullissat)                    ,                         0,                         0,                      2791,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      2791,                      2791,                         0,                         0,                         0,                         0,                         0,                         0,                      2791,                      2792,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      2770,                         0,                         0,                         0,                         0,                         0,                         0,                      2770,                         0
04220 (Aasiaat)                      ,                      7477,                      7166,                      8642,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      8643,                      8643,                         0,                         0,                         0,                         0,                         0,                         0,                      8642,                      8642,                         0,                         0,                         0,                         0,                       720,                         0,                         0,                       716,                         0,                         0,                         0,                         0,                         0,                         0,                      8538,                      5613,                      8688,                         0,                         0,                         0,                         0,                         0,                         0,                      8688,                         0
04228 (Attu)                         ,                         0,                         0,                      3779,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      3787,                      3787,                         0,                         0,                         0,                         0,                         0,                         0,                      3779,                      3788,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      3773,                         0,                         0,                         0,                         0,                         0,                         0,                      3773,                         0
04242 (Sioralik)                     ,                         0,                         0,                      3664,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      3665,                      3665,                         0,                         0,                         0,                         0,                         0,                         0,                      3664,                      3665,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      3654,                         0,                         0,                         0,                         0,                         0,                         0,                      3654,                         0
04250 (Nuuk)                         ,                      7820,                      7360,                         0,                      8070,                         0,                         0,                      8077,                      7967,                      7972,                      7967,                         0,                        96,                      8084,                      8078,                         0,                         0,                         0,                         0,                         0,                         0,                      8084,                      8084,                         0,                         0,                         0,                         0,                       669,                      8070,                      8070,                       669,                      8070,                         0,                         0,                         0,                         0,                      5613,                      5613,                      2786,                         0,                      8070,                      8070,                      8078,                      8070,                       350,                      1523,                         0,                      8070
04253 (Ukiiviit)                     ,                         0,                         0,                      2768,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      1201,                      1201,                         0,                         0,                         0,                         0,                         0,                         0,                      2768,                      2768,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      2763,                         0,                         0,                         0,                         0,                         0,                         0,                      2763,                         0
04266 (Nunarssuit)                   ,                         0,                         0,                      2748,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      2747,                      2747,                         0,                         0,                         0,                         0,                         0,                         0,                      2748,                      2748,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      2740,                         0,                         0,                         0,                         0,                         0,                         0,                      2740,                         0
04271 (Narsarsuaq Radiosonde)        ,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0
