Station                           ,                 sea_reg,              sealev_dvr,               sealev_ln,                      tw
  20002 (Skagen Havn)             ,                   51272,                   51272,                       0,                       0
  20043 (Hirtshals Havn II)       ,                   50735,                   50735,                   50735,                   50725
  20047 (Hirtshals Havn I)        ,                   52008,                   52008,                   52008,                       0
  20048 (Hirtshals Havn)          ,                       0,                       0,                       0,                       0
  20098 (Frederikshavn)           ,                       0,                       0,                       0,                       0
  20101 (Frederikshavn I)         ,                   51952,                   51952,                   51952,                       0
  20102 (Frederikshavn II)        ,                   51121,                       0,                       0,                   51104
  20566 (Hobro Havn I)            ,                   51937,                   51937,                       0,                       0
  20567 (Hobro Havn II)           ,                   51903,                   51903,                       0,                   51880
  21008 (Hanstholm Havn)          ,                       0,                       0,                       0,                       0
  21009 (Hanstholm Havn I)        ,                   52021,                   52021,                   52021,                       0
  21011 (Hanstholm Havn II)       ,                   51917,                       0,                       0,                   51897
  22009 (Udbyhøj Havn II)         ,                   52320,                   52320,                       0,                   52313
  22058 (Randers Havn I)          ,                   52122,                   52122,                       0,                       0
  22059 (Randers Havn II)         ,                   52034,                       0,                       0,                   52017
  22121 (Grenå Havn I)            ,                   51982,                   51982,                       0,                       0
  22122 (Grenå Havn II)           ,                   51877,                       0,                       0,                   51862
  22331 (Århus Havn I)            ,                   52048,                   52048,                   52048,                       0
  22332 (Århus Havn)              ,                       0,                       0,                       0,                       0
  22333 (Århus Havn II)           ,                   51956,                       0,                       0,                   51933
  22598 (Hov Havn I)              ,                   52180,                   52180,                       0,                       0
  22599 (Hov Havn II)             ,                   52086,                       0,                       0,                   52076
  23132 (Juelsminde Havn)         ,                   51997,                   51997,                       0,                       0
  23289 (Fredericia Havn II)      ,                   51895,                       0,                       0,                   51876
  23292 (Fredericia Havn)         ,                       0,                       0,                       0,                       0
  23293 (Fredericia Havn)         ,                   51997,                   51997,                   51997,                       0
  25148 (Esbjerg Havn)            ,                       0,                       0,                       0,                       0
  25149 (Esbjerg Havn)            ,                   52555,                   52555,                   52555,                   51844
  26359 (Vidåslusen/Højer)        ,                   47381,                   47381,                   47381,                   47381
  26457 (Fynshav Havn I)          ,                   51969,                   51969,                   51969,                       0
  26458 (Fynshav Havn)            ,                       0,                       0,                       0,                       0
  26459 (Fynshav Havn II)         ,                   51851,                       0,                       0,                   51837
  27084 (Ballen Havn)             ,                   49051,                   49051,                       0,                       0
  28232 (Slipshavn)               ,                       0,                       0,                       0,                       0
  28233 (Slipshavn)               ,                       0,                       0,                       0,                       0
  28234 (Slipshavn)               ,                   52557,                   52557,                   52557,                   52557
  28548 (Bagenkop Havn)           ,                   52053,                   52053,                       0,                       0
  29002 (Havnebyen/Sjællands Odde),                   45335,                   45335,                       0,                       0
  29038 (Holbæk Havn I)           ,                   52037,                   52037,                       0,                       0
  29039 (Holbæk Havn II)          ,                   51926,                       0,                       0,                   51908
