Station                           ,                 sea_reg,              sealev_dvr,               sealev_ln,                      tw
  20002 (Skagen Havn)             ,                   52191,                   52191,                       0,                       0
  20043 (Hirtshals Havn II)       ,                   52127,                   52127,                   52127,                   52125
  20047 (Hirtshals Havn I)        ,                   52127,                   52127,                   52127,                       0
  20048 (Hirtshals Havn)          ,                       0,                       0,                       0,                       0
  20098 (Frederikshavn)           ,                       0,                       0,                       0,                       0
  20101 (Frederikshavn I)         ,                   49469,                   49469,                   49469,                       0
  20102 (Frederikshavn II)        ,                   52089,                       0,                       0,                   52086
  20566 (Hobro Havn I)            ,                   18832,                   18832,                       0,                       0
  20567 (Hobro Havn II)           ,                   32009,                   13176,                       0,                   32009
  21008 (Hanstholm Havn)          ,                       0,                       0,                       0,                       0
  21009 (Hanstholm Havn I)        ,                   52087,                   52087,                   52087,                       0
  21011 (Hanstholm Havn II)       ,                   52089,                       0,                       0,                   52085
  22009 (Udbyhøj Havn II)         ,                   52357,                   52357,                       0,                   52355
  22058 (Randers Havn I)          ,                   52161,                   52161,                       0,                       0
  22059 (Randers Havn II)         ,                   52163,                       0,                       0,                   52158
  22121 (Grenå Havn I)            ,                   52095,                   52095,                       0,                       0
  22122 (Grenå Havn II)           ,                   52093,                       0,                       0,                   47948
  22331 (Århus Havn I)            ,                   52123,                   52123,                   52123,                       0
  22332 (Århus Havn)              ,                       0,                       0,                       0,                       0
  22333 (Århus Havn II)           ,                   52114,                       0,                       0,                   52110
  22598 (Hov Havn I)              ,                   52120,                   52120,                       0,                       0
  22599 (Hov Havn II)             ,                   52110,                       0,                       0,                   52106
  23132 (Juelsminde Havn)         ,                   51481,                   51481,                       0,                       0
  23289 (Fredericia Havn II)      ,                   52058,                       0,                       0,                   52057
  23292 (Fredericia Havn)         ,                       0,                       0,                       0,                       0
  23293 (Fredericia Havn)         ,                   52069,                   52069,                   52069,                       0
  25148 (Esbjerg Havn)            ,                       0,                       0,                       0,                       0
  25149 (Esbjerg Havn)            ,                   51194,                   51194,                   51194,                   51194
  26359 (Vidåslusen/Højer)        ,                   52549,                   52549,                   52549,                   52549
  26457 (Fynshav Havn I)          ,                   52048,                   52048,                   52048,                       0
  26458 (Fynshav Havn)            ,                       0,                       0,                       0,                       0
  26459 (Fynshav Havn II)         ,                   52047,                       0,                       0,                   52045
  27084 (Ballen Havn)             ,                   52067,                   52067,                       0,                       0
  28232 (Slipshavn)               ,                       0,                       0,                       0,                       0
  28233 (Slipshavn)               ,                       0,                       0,                       0,                       0
  28234 (Slipshavn)               ,                   52399,                   52399,                   52399,                   52399
  28548 (Bagenkop Havn)           ,                   52003,                   52003,                       0,                       0
  29002 (Havnebyen/Sjællands Odde),                   52163,                   52163,                       0,                       0
  29038 (Holbæk Havn I)           ,                   52095,                   52095,                       0,                       0
  29039 (Holbæk Havn II)          ,                   52082,                       0,                       0,                   52080
