Station                           ,                 sea_reg,              sealev_dvr,               sealev_ln,                      tw
  20002 (Skagen Havn)             ,                   52374,                   52374,                       0,                       0
  20043 (Hirtshals Havn II)       ,                       0,                       0,                       0,                       0
  20047 (Hirtshals Havn I)        ,                   52545,                   52545,                   52545,                   52545
  20048 (Hirtshals Havn)          ,                       0,                       0,                       0,                       0
  20098 (Frederikshavn)           ,                       0,                       0,                       0,                       0
  20101 (Frederikshavn I)         ,                   52558,                   52558,                   52558,                   52558
  20102 (Frederikshavn II)        ,                       0,                       0,                       0,                       0
  20566 (Hobro Havn I)            ,                   52403,                   52403,                       0,                       0
  20567 (Hobro Havn II)           ,                   52397,                       0,                       0,                   52396
  21008 (Hanstholm Havn)          ,                       0,                       0,                       0,                       0
  21009 (Hanstholm Havn I)        ,                   52203,                   52203,                   52203,                   52203
  21011 (Hanstholm Havn II)       ,                       0,                       0,                       0,                       0
  22009 (Udbyhøj Havn II)         ,                   52434,                   52434,                       0,                   52434
  22058 (Randers Havn I)          ,                   52407,                   52407,                       0,                       0
  22059 (Randers Havn II)         ,                   52404,                       0,                       0,                   52403
  22121 (Grenå Havn I)            ,                   52555,                   52555,                       0,                       0
  22122 (Grenå Havn II)           ,                       0,                       0,                       0,                       0
  22331 (Århus Havn I)            ,                   49165,                   49165,                   49165,                   49165
  22332 (Århus Havn)              ,                       0,                       0,                       0,                       0
  22333 (Århus Havn II)           ,                       0,                       0,                       0,                       0
  22598 (Hov Havn I)              ,                   52404,                   52404,                       0,                       0
  22599 (Hov Havn II)             ,                   52400,                       0,                       0,                   52397
  23132 (Juelsminde Havn)         ,                   52541,                   52541,                       0,                       0
  23289 (Fredericia Havn II)      ,                       0,                       0,                       0,                       0
  23292 (Fredericia Havn)         ,                       0,                       0,                       0,                       0
  23293 (Fredericia Havn)         ,                   52554,                   52554,                   52554,                   52554
  25148 (Esbjerg Havn)            ,                       0,                       0,                       0,                       0
  25149 (Esbjerg Havn)            ,                   52538,                   52538,                   52538,                   52537
  26359 (Vidåslusen/Højer)        ,                   48318,                   48318,                   48318,                   48316
  26457 (Fynshav Havn I)          ,                   52553,                   52553,                   52553,                   52299
  26458 (Fynshav Havn)            ,                       0,                       0,                       0,                       0
  26459 (Fynshav Havn II)         ,                       0,                       0,                       0,                       0
  27084 (Ballen Havn)             ,                   49383,                   49383,                       0,                       0
  28232 (Slipshavn)               ,                       0,                       0,                       0,                       0
  28233 (Slipshavn)               ,                       0,                       0,                       0,                       0
  28234 (Slipshavn)               ,                   52524,                   52524,                   52524,                   52524
  28548 (Bagenkop Havn)           ,                   52128,                   52128,                       0,                       0
  29002 (Havnebyen/Sjællands Odde),                   51718,                   51718,                       0,                       0
  29038 (Holbæk Havn I)           ,                   52417,                   52417,                       0,                       0
  29039 (Holbæk Havn II)          ,                   52415,                       0,                       0,                   52412
  29392 (Korsør Havn)             ,                       0,                       0,                       0,                       0
  29393 (Korsør Havn I)           ,                   52466,                   52466,                   52466,                   52466
  29394 (Korsør Havn II)          ,                       0,                       0,                       0,                       0
  30017 (Hornbæk Havn)            ,                   52163,                   52163,                   52163,                   52163
  30018 (Hornbæk Havn)            ,                       0,                       0,                       0,                       0
  30202 (Vedbæk Havn I)           ,                   52380,                   52380,                       0,                       0
  30203 (Vedbæk Havn II)          ,                   52375,                       0,                       0,                   52374
  30336 (Københavns Havn)         ,                   50846,                   50846,                   50846,                   50845
  30337 (Københavns Havn)         ,                       0,                       0,                       0,                       0
  30338 (Københavns Havn)         ,                       0,                       0,                       0,                       0
  30339 (Københavns Havn)         ,                       0,                       0,                       0,                       0
