Station                           ,                 sea_reg,              sealev_dvr,               sealev_ln,                      tw
  20002 (Skagen Havn)             ,                   51899,                   51899,                       0,                       0
  20043 (Hirtshals Havn II)       ,                   51749,                   51749,                   51749,                   39901
  20047 (Hirtshals Havn I)        ,                   51884,                   51884,                   51884,                       0
  20048 (Hirtshals Havn)          ,                       0,                       0,                       0,                       0
  20098 (Frederikshavn)           ,                       0,                       0,                       0,                       0
  20101 (Frederikshavn I)         ,                   51888,                   51888,                   51888,                       0
  20102 (Frederikshavn II)        ,                   51744,                       0,                       0,                   51715
  20566 (Hobro Havn I)            ,                       0,                       0,                       0,                       0
  20567 (Hobro Havn II)           ,                   48952,                   48952,                       0,                   48935
  21008 (Hanstholm Havn)          ,                       0,                       0,                       0,                       0
  21009 (Hanstholm Havn I)        ,                   51844,                   51844,                   51844,                       0
  21011 (Hanstholm Havn II)       ,                   51726,                       0,                       0,                   51702
  22009 (Udbyhøj Havn II)         ,                   52193,                   52193,                       0,                   52183
  22058 (Randers Havn I)          ,                   51911,                   51911,                       0,                       0
  22059 (Randers Havn II)         ,                   51797,                       0,                       0,                   51776
  22121 (Grenå Havn I)            ,                   51887,                   51887,                       0,                       0
  22122 (Grenå Havn II)           ,                   51771,                       0,                       0,                   51757
  22331 (Århus Havn I)            ,                   51883,                   51883,                   51883,                       0
  22332 (Århus Havn)              ,                       0,                       0,                       0,                       0
  22333 (Århus Havn II)           ,                   51767,                       0,                       0,                   51748
  22598 (Hov Havn I)              ,                   51962,                   51962,                       0,                       0
  22599 (Hov Havn II)             ,                   51837,                       0,                       0,                   51816
  23132 (Juelsminde Havn)         ,                   50705,                   50705,                       0,                       0
  23289 (Fredericia Havn II)      ,                   51736,                       0,                       0,                   51719
  23292 (Fredericia Havn)         ,                       0,                       0,                       0,                       0
  23293 (Fredericia Havn)         ,                   51852,                   51852,                   51852,                       0
  25148 (Esbjerg Havn)            ,                       0,                       0,                       0,                       0
  25149 (Esbjerg Havn)            ,                   52702,                   52702,                   52702,                   52702
  26359 (Vidåslusen/Højer)        ,                   52702,                   52702,                   52702,                   52702
  26457 (Fynshav Havn I)          ,                   51810,                   51810,                   51810,                       0
  26458 (Fynshav Havn)            ,                       0,                       0,                       0,                       0
  26459 (Fynshav Havn II)         ,                   51688,                       0,                       0,                   51665
  27084 (Ballen Havn)             ,                   51290,                   51290,                       0,                       0
  28232 (Slipshavn)               ,                       0,                       0,                       0,                       0
  28233 (Slipshavn)               ,                       0,                       0,                       0,                       0
  28234 (Slipshavn)               ,                   51858,                   51858,                   51858,                   51858
  28548 (Bagenkop Havn)           ,                   50653,                   50653,                       0,                       0
  29002 (Havnebyen/Sjællands Odde),                   43859,                   43859,                       0,                       0
  29038 (Holbæk Havn I)           ,                   51798,                   51798,                       0,                       0
  29039 (Holbæk Havn II)          ,                   51662,                       0,                       0,                   51646
  29392 (Korsør Havn)             ,                       0,                       0,                       0,                       0
  29393 (Korsør Havn I)           ,                   51797,                   51797,                   51797,                       0
  29394 (Korsør Havn II)          ,                   51673,                       0,                       0,                   51655
  30017 (Hornbæk Havn)            ,                   51549,                   51549,                   51549,                   51549
  30018 (Hornbæk Havn)            ,                       0,                       0,                       0,                       0
  30202 (Vedbæk Havn I)           ,                   51911,                   51911,                       0,                       0
  30203 (Vedbæk Havn II)          ,                   51798,                       0,                       0,                   51773
  30336 (Københavns Havn)         ,                   51572,                   51572,                   51572,                   51572
  30337 (Københavns Havn)         ,                       0,                       0,                       0,                       0
  30338 (Københavns Havn)         ,                       0,                       0,                       0,                       0
  30339 (Københavns Havn)         ,                       0,                       0,                       0,                       0
